uid,date,n_convo,minutes_convo,n_unlocks,n_scans,n_bt_unique,devices_per_scan,sleep,stress,deadline_day,weekday,weekend,day_num,sleep_pm,sleep_cwc,stress_pm,stress_cwc,big5_num,big5_c
0,2013-03-24,0,0,0,0,0,NA,NA,NA,0,Sun,1,1,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-03-25,0,0,0,0,0,NA,8,2,0,Mon,0,2,7.352713178294573,0.6472868217054266,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-03-26,0,0,0,0,0,NA,7.5,2,0,Tue,0,3,7.352713178294573,0.14728682170542662,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-03-27,21,0,5,29,39,1.3448275862068966,8,1,0,Wed,0,4,7.352713178294573,0.6472868217054266,2.23731884057971,-1.23731884057971,NA,NA
0,2013-03-28,21,0,1,22,37,1.6818181818181819,6.5,2.6666666666666665,0,Thu,0,5,7.352713178294573,-0.8527131782945734,2.23731884057971,0.42934782608695654,NA,NA
0,2013-03-29,32,0,6,32,56,1.75,6,2.5,0,Fri,0,6,7.352713178294573,-1.3527131782945734,2.23731884057971,0.26268115942029,NA,NA
0,2013-03-30,32,0,4,15,6,0.4,NA,4,0,Sat,1,7,7.352713178294573,NA,2.23731884057971,1.76268115942029,NA,NA
0,2013-03-31,22,0,6,0,0,NA,9,4.5,0,Sun,1,8,7.352713178294573,1.6472868217054266,2.23731884057971,2.26268115942029,NA,NA
0,2013-04-01,28,0,2,30,48,1.6,3,NA,0,Mon,0,9,7.352713178294573,-4.352713178294573,2.23731884057971,NA,NA,NA
0,2013-04-02,38,0,6,14,12,0.8571428571428571,NA,1,0,Tue,0,10,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-03,33,0,6,30,47,1.5666666666666667,5,1.5,0,Wed,0,11,7.352713178294573,-2.3527131782945734,2.23731884057971,-0.73731884057971,NA,NA
0,2013-04-04,24,0,0,16,35,2.1875,10,2.75,0,Thu,0,12,7.352713178294573,2.6472868217054266,2.23731884057971,0.51268115942029,NA,NA
0,2013-04-05,28,0,4,0,0,NA,4,1.5,0,Fri,0,13,7.352713178294573,-3.3527131782945734,2.23731884057971,-0.73731884057971,NA,NA
0,2013-04-06,35,0,4,0,0,NA,9,1,0,Sat,1,14,7.352713178294573,1.6472868217054266,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-07,31,0,4,0,0,NA,9,5,0,Sun,1,15,7.352713178294573,1.6472868217054266,2.23731884057971,2.76268115942029,NA,NA
0,2013-04-08,37,0,6,23,52,2.260869565217391,4.5,3,0,Mon,0,16,7.352713178294573,-2.8527131782945734,2.23731884057971,0.76268115942029,NA,NA
0,2013-04-09,26,0,3,13,34,2.6153846153846154,6,2,0,Tue,0,17,7.352713178294573,-1.3527131782945734,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-04-10,34,0,2,20,24,1.2,5,1,0,Wed,0,18,7.352713178294573,-2.3527131782945734,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-11,33,0,2,24,46,1.9166666666666667,8,NA,0,Thu,0,19,7.352713178294573,0.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-04-12,35,0,4,21,60,2.857142857142857,3,2,0,Fri,0,20,7.352713178294573,-4.352713178294573,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-04-13,48,0,2,0,0,NA,NA,NA,0,Sat,1,21,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-04-14,42,0,7,0,0,NA,10.666666666666666,3,0,Sun,1,22,7.352713178294573,3.3139534883720927,2.23731884057971,0.76268115942029,NA,NA
0,2013-04-15,35,0,4,24,80,3.3333333333333335,3,3,0,Mon,0,23,7.352713178294573,-4.352713178294573,2.23731884057971,0.76268115942029,NA,NA
0,2013-04-16,32,0,5,28,32,1.1428571428571428,NA,3,0,Tue,0,24,7.352713178294573,NA,2.23731884057971,0.76268115942029,NA,NA
0,2013-04-17,23,0,3,31,72,2.3225806451612905,3,3,0,Wed,0,25,7.352713178294573,-4.352713178294573,2.23731884057971,0.76268115942029,NA,NA
0,2013-04-18,16,0,3,21,58,2.761904761904762,NA,4,0,Thu,0,26,7.352713178294573,NA,2.23731884057971,1.76268115942029,NA,NA
0,2013-04-19,36,0,3,17,63,3.7058823529411766,NA,NA,0,Fri,0,27,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-04-20,23,0,4,9,6,0.6666666666666666,8,NA,0,Sat,1,28,7.352713178294573,0.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-04-21,44,0,4,0,0,NA,8,NA,0,Sun,1,29,7.352713178294573,0.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-04-22,26,0,4,27,79,2.925925925925926,3,NA,0,Mon,0,30,7.352713178294573,-4.352713178294573,2.23731884057971,NA,NA,NA
0,2013-04-23,31,0,6,30,50,1.6666666666666667,6,1,0,Tue,0,31,7.352713178294573,-1.3527131782945734,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-24,33,0,3,8,6,0.75,9,NA,0,Wed,0,32,7.352713178294573,1.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-04-25,31,0,4,30,85,2.8333333333333335,5,1,0,Thu,0,33,7.352713178294573,-2.3527131782945734,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-26,32,0,4,32,84,2.625,NA,1,0,Fri,0,34,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-27,38,0,4,2,2,1,NA,NA,0,Sat,1,35,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-04-28,34,0,6,0,0,NA,NA,1,0,Sun,1,36,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-04-29,32,0,3,33,58,1.7575757575757576,NA,2,0,Mon,0,37,7.352713178294573,NA,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-04-30,42,0,3,18,43,2.388888888888889,NA,3,0,Tue,0,38,7.352713178294573,NA,2.23731884057971,0.76268115942029,NA,NA
0,2013-05-01,53,0,6,41,85,2.073170731707317,3,NA,0,Wed,0,39,7.352713178294573,-4.352713178294573,2.23731884057971,NA,NA,NA
0,2013-05-02,13,0,2,9,30,3.3333333333333335,NA,NA,0,Thu,0,40,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-03,50,0,5,47,65,1.3829787234042554,NA,NA,0,Fri,0,41,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-04,44,0,3,27,33,1.2222222222222223,NA,NA,0,Sat,1,42,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-05,47,0,3,33,77,2.3333333333333335,10,NA,0,Sun,1,43,7.352713178294573,2.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-05-06,65,0,5,29,85,2.9310344827586206,9,NA,0,Mon,0,44,7.352713178294573,1.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-05-07,39,0,5,30,27,0.9,NA,1,0,Tue,0,45,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-05-08,36,0,4,26,44,1.6923076923076923,6,3,0,Wed,0,46,7.352713178294573,-1.3527131782945734,2.23731884057971,0.76268115942029,NA,NA
0,2013-05-09,35,0,5,26,59,2.269230769230769,10,4,0,Thu,0,47,7.352713178294573,2.6472868217054266,2.23731884057971,1.76268115942029,NA,NA
0,2013-05-10,29,0,4,27,61,2.259259259259259,11,NA,0,Fri,0,48,7.352713178294573,3.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-05-11,37,0,4,3,3,1,NA,NA,0,Sat,1,49,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-12,34,0,3,3,3,1,NA,NA,0,Sun,1,50,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-13,23,0,3,30,66,2.2,15,NA,0,Mon,0,51,7.352713178294573,7.647286821705427,2.23731884057971,NA,NA,NA
0,2013-05-14,32,0,3,2,1,0.5,NA,NA,0,Tue,0,52,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-15,49,0,3,29,81,2.793103448275862,NA,2.5,0,Wed,0,53,7.352713178294573,NA,2.23731884057971,0.26268115942029,NA,NA
0,2013-05-16,20,0,2,5,8,1.6,10,4,0,Thu,0,54,7.352713178294573,2.6472868217054266,2.23731884057971,1.76268115942029,NA,NA
0,2013-05-17,20,0,2,28,23,0.8214285714285714,9,4,0,Fri,0,55,7.352713178294573,1.6472868217054266,2.23731884057971,1.76268115942029,NA,NA
0,2013-05-18,6,0,0,0,0,NA,NA,4,0,Sat,1,56,7.352713178294573,NA,2.23731884057971,1.76268115942029,NA,NA
0,2013-05-19,26,0,3,0,0,NA,NA,NA,0,Sun,1,57,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-20,13,0,0,0,0,NA,NA,1,0,Mon,0,58,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-05-21,0,0,0,0,0,NA,NA,2,0,Tue,0,59,7.352713178294573,NA,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-05-22,5,0,0,4,11,2.75,NA,1,0,Wed,0,60,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-05-23,33,0,3,28,36,1.2857142857142858,9,1,0,Thu,0,61,7.352713178294573,1.6472868217054266,2.23731884057971,-1.23731884057971,NA,NA
0,2013-05-24,39,0,1,31,24,0.7741935483870968,9,1,0,Fri,0,62,7.352713178294573,1.6472868217054266,2.23731884057971,-1.23731884057971,NA,NA
0,2013-05-25,43,0,1,39,43,1.1025641025641026,7,2,0,Sat,1,63,7.352713178294573,-0.3527131782945734,2.23731884057971,-0.23731884057970998,NA,NA
0,2013-05-26,34,0,2,5,3,0.6,12,NA,0,Sun,1,64,7.352713178294573,4.647286821705427,2.23731884057971,NA,NA,NA
0,2013-05-27,43,0,4,46,93,2.0217391304347827,NA,NA,0,Mon,0,65,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-28,29,0,4,50,72,1.44,9,NA,0,Tue,0,66,7.352713178294573,1.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-05-29,37,0,1,51,83,1.6274509803921569,1,NA,0,Wed,0,67,7.352713178294573,-6.352713178294573,2.23731884057971,NA,NA,NA
0,2013-05-30,23,0,2,26,53,2.0384615384615383,NA,NA,0,Thu,0,68,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-05-31,45,0,6,26,15,0.5769230769230769,10,NA,0,Fri,0,69,7.352713178294573,2.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-06-01,1,0,0,3,1,0.3333333333333333,NA,NA,0,Sat,1,70,7.352713178294573,NA,2.23731884057971,NA,NA,NA
0,2013-06-02,0,0,0,0,0,NA,9,NA,0,Sun,1,71,7.352713178294573,1.6472868217054266,2.23731884057971,NA,NA,NA
0,2013-06-03,0,0,0,0,0,NA,NA,1,0,Mon,0,72,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-08-07,0,0,0,0,0,NA,NA,1,0,Wed,0,73,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-08-08,0,0,0,0,0,NA,NA,3,0,Thu,0,74,7.352713178294573,NA,2.23731884057971,0.76268115942029,NA,NA
0,2013-08-10,0,0,0,0,0,NA,NA,1,0,Sat,1,75,7.352713178294573,NA,2.23731884057971,-1.23731884057971,NA,NA
0,2013-08-16,0,0,0,0,0,NA,NA,2,0,Fri,0,76,7.352713178294573,NA,2.23731884057971,-0.23731884057970998,NA,NA
1,2013-03-24,0,0,0,0,0,NA,NA,NA,0,Sun,1,1,7.3125,NA,2.230769230769231,NA,NA,NA
